,building,greenery,img
0,2.332,13.434,masks\TRAIN_0000_0.png
1,2.705,11.836,masks\TRAIN_0000_1.png
2,6.141,5.354,masks\TRAIN_0000_2.png
3,0.255,10.785,masks\TRAIN_0000_3.png
4,0.0,13.317,masks\TRAIN_0000_4.png
5,1.188,14.159,masks\TRAIN_0000_5.png
6,0.878,18.926,masks\TRAIN_0000_6.png
7,0.256,17.588,masks\TRAIN_0000_7.png
8,0.0,19.98,masks\TRAIN_0000_8.png
9,5.775,8.292,masks\TRAIN_0001_0.png
10,5.972,11.617,masks\TRAIN_0001_1.png
11,7.209,10.414,masks\TRAIN_0001_2.png
12,9.958,4.108,masks\TRAIN_0001_3.png
13,9.774,4.05,masks\TRAIN_0001_4.png
14,8.26,7.631,masks\TRAIN_0001_5.png
15,7.903,3.868,masks\TRAIN_0001_6.png
16,7.07,4.997,masks\TRAIN_0001_7.png
17,4.09,26.126,masks\TRAIN_0001_8.png
18,2.401,28.97,masks\TRAIN_0002_0.png
19,1.55,42.226,masks\TRAIN_0002_1.png
20,5.571,35.582,masks\TRAIN_0002_2.png
21,0.0,23.882,masks\TRAIN_0002_3.png
22,0.327,39.51,masks\TRAIN_0002_4.png
23,5.689,32.758,masks\TRAIN_0002_5.png
24,0.0,31.159,masks\TRAIN_0002_6.png
25,0.0,41.786,masks\TRAIN_0002_7.png
26,2.787,33.38,masks\TRAIN_0002_8.png
27,9.43,27.321,masks\TRAIN_0003_0.png
28,13.204,21.204,masks\TRAIN_0003_1.png
29,13.176,21.157,masks\TRAIN_0003_2.png
30,12.866,24.76,masks\TRAIN_0003_3.png
31,15.661,17.976,masks\TRAIN_0003_4.png
32,17.466,16.256,masks\TRAIN_0003_5.png
33,13.577,24.897,masks\TRAIN_0003_6.png
34,15.255,16.102,masks\TRAIN_0003_7.png
35,17.772,12.768,masks\TRAIN_0003_8.png
36,1.625,8.494,masks\TRAIN_0004_0.png
37,1.281,8.03,masks\TRAIN_0004_1.png
38,1.02,8.209,masks\TRAIN_0004_2.png
39,1.423,14.447,masks\TRAIN_0004_3.png
40,2.011,14.265,masks\TRAIN_0004_4.png
41,2.048,11.668,masks\TRAIN_0004_5.png
42,2.048,12.481,masks\TRAIN_0004_6.png
43,1.53,14.292,masks\TRAIN_0004_7.png
44,1.827,9.911,masks\TRAIN_0004_8.png
45,0.82,43.048,masks\TRAIN_0005_0.png
46,6.722,30.949,masks\TRAIN_0005_1.png
47,12.048,18.676,masks\TRAIN_0005_2.png
48,1.177,42.234,masks\TRAIN_0005_3.png
49,7.412,29.773,masks\TRAIN_0005_4.png
50,14.651,17.018,masks\TRAIN_0005_5.png
51,0.991,31.882,masks\TRAIN_0005_6.png
52,5.994,29.319,masks\TRAIN_0005_7.png
53,12.08,17.949,masks\TRAIN_0005_8.png
54,0.0,11.69,masks\TRAIN_0006_0.png
55,0.0,12.393,masks\TRAIN_0006_1.png
56,0.0,8.092,masks\TRAIN_0006_2.png
57,0.0,11.021,masks\TRAIN_0006_3.png
58,1.077,9.813,masks\TRAIN_0006_4.png
59,2.815,5.379,masks\TRAIN_0006_5.png
60,0.0,8.81,masks\TRAIN_0006_6.png
61,2.982,8.604,masks\TRAIN_0006_7.png
62,10.085,6.111,masks\TRAIN_0006_8.png
63,9.461,28.498,masks\TRAIN_0007_0.png
64,9.213,28.573,masks\TRAIN_0007_1.png
65,4.485,24.347,masks\TRAIN_0007_2.png
66,27.951,14.81,masks\TRAIN_0007_3.png
67,22.519,17.656,masks\TRAIN_0007_4.png
68,9.192,22.707,masks\TRAIN_0007_5.png
69,24.632,6.436,masks\TRAIN_0007_6.png
70,19.096,11.224,masks\TRAIN_0007_7.png
71,10.221,21.489,masks\TRAIN_0007_8.png
72,4.021,21.995,masks\TRAIN_0008_0.png
73,3.424,22.835,masks\TRAIN_0008_1.png
74,3.384,21.728,masks\TRAIN_0008_2.png
75,1.628,10.099,masks\TRAIN_0008_3.png
76,1.104,11.411,masks\TRAIN_0008_4.png
77,0.996,11.074,masks\TRAIN_0008_5.png
78,0.605,6.307,masks\TRAIN_0008_6.png
79,0.0,10.457,masks\TRAIN_0008_7.png
80,0.0,10.214,masks\TRAIN_0008_8.png
81,15.06,10.786,masks\TRAIN_0009_0.png
82,17.828,2.922,masks\TRAIN_0009_1.png
83,13.183,2.508,masks\TRAIN_0009_2.png
84,16.918,11.324,masks\TRAIN_0009_3.png
85,15.723,5.632,masks\TRAIN_0009_4.png
86,9.55,4.155,masks\TRAIN_0009_5.png
87,16.296,11.816,masks\TRAIN_0009_6.png
88,13.334,10.407,masks\TRAIN_0009_7.png
89,11.235,9.74,masks\TRAIN_0009_8.png
90,14.668,9.684,masks\TRAIN_0010_0.png
91,16.024,12.791,masks\TRAIN_0010_1.png
92,19.403,13.708,masks\TRAIN_0010_2.png
93,18.309,9.405,masks\TRAIN_0010_3.png
94,16.888,9.933,masks\TRAIN_0010_4.png
95,11.839,17.38,masks\TRAIN_0010_5.png
96,10.958,23.402,masks\TRAIN_0010_6.png
97,10.048,21.896,masks\TRAIN_0010_7.png
98,5.559,26.328,masks\TRAIN_0010_8.png
99,3.612,56.772,masks\TRAIN_0011_0.png
100,2.481,85.59,masks\TRAIN_0011_1.png
101,4.259,76.331,masks\TRAIN_0011_2.png
102,1.778,52.505,masks\TRAIN_0011_3.png
103,1.67,58.215,masks\TRAIN_0011_4.png
104,9.444,46.251,masks\TRAIN_0011_5.png
105,0.447,68.095,masks\TRAIN_0011_6.png
106,0.203,47.206,masks\TRAIN_0011_7.png
107,7.744,24.963,masks\TRAIN_0011_8.png
108,5.298,11.506,masks\TRAIN_0012_0.png
109,3.313,9.923,masks\TRAIN_0012_1.png
110,2.103,11.335,masks\TRAIN_0012_2.png
111,2.016,14.822,masks\TRAIN_0012_3.png
112,2.001,12.16,masks\TRAIN_0012_4.png
113,2.531,10.708,masks\TRAIN_0012_5.png
114,0.161,11.773,masks\TRAIN_0012_6.png
115,3.59,10.755,masks\TRAIN_0012_7.png
116,5.328,8.343,masks\TRAIN_0012_8.png
117,9.38,41.949,masks\TRAIN_0013_0.png
118,8.151,40.928,masks\TRAIN_0013_1.png
119,8.804,29.182,masks\TRAIN_0013_2.png
120,10.089,33.363,masks\TRAIN_0013_3.png
121,8.867,38.943,masks\TRAIN_0013_4.png
122,5.837,45.173,masks\TRAIN_0013_5.png
123,10.512,29.115,masks\TRAIN_0013_6.png
124,9.361,38.713,masks\TRAIN_0013_7.png
125,3.756,57.539,masks\TRAIN_0013_8.png
126,6.021,60.453,masks\TRAIN_0014_0.png
127,7.562,58.02,masks\TRAIN_0014_1.png
128,7.343,59.764,masks\TRAIN_0014_2.png
129,6.379,56.474,masks\TRAIN_0014_3.png
130,6.855,56.048,masks\TRAIN_0014_4.png
131,6.712,60.969,masks\TRAIN_0014_5.png
132,7.872,50.515,masks\TRAIN_0014_6.png
133,7.234,55.359,masks\TRAIN_0014_7.png
134,5.577,60.611,masks\TRAIN_0014_8.png
135,4.537,41.745,masks\TRAIN_0015_0.png
136,2.907,34.181,masks\TRAIN_0015_1.png
137,0.75,26.36,masks\TRAIN_0015_2.png
138,6.594,53.171,masks\TRAIN_0015_3.png
139,6.224,44.277,masks\TRAIN_0015_4.png
140,5.199,35.899,masks\TRAIN_0015_5.png
141,7.626,51.26,masks\TRAIN_0015_6.png
142,9.195,46.501,masks\TRAIN_0015_7.png
143,6.805,37.793,masks\TRAIN_0015_8.png
144,8.189,7.568,masks\TRAIN_0016_0.png
145,9.36,6.66,masks\TRAIN_0016_1.png
146,8.22,5.737,masks\TRAIN_0016_2.png
147,8.326,10.117,masks\TRAIN_0016_3.png
148,11.847,5.329,masks\TRAIN_0016_4.png
149,12.435,4.725,masks\TRAIN_0016_5.png
150,5.524,10.724,masks\TRAIN_0016_6.png
151,9.895,7.063,masks\TRAIN_0016_7.png
